"panelname","RA:decimal","RA:hr","RA:min","RA:sec","Dec:decimal","Dec:deg","Dec:min","Dec:sec","Rot:deg"
L:5,16.47821667,18,40,31,49.38896194,49,23,20,79.87031664
14:04,16.84895407,19,5,44,61.13459674,61,8,5,73.56778089
N:4,16.90962018,19,9,51,62.45239967,62,27,9,72.53645686
M:4,16.95680494,19,13,4,55.97797658,55,58,41,71.73431595
13:04,16.93321256,19,11,28,54.66017366,54,39,37,72.13538641
12:04,17.26013554,19,33,41,48.07115901,48,4,16,66.57769579
